index,r,g,b,soundFreq,octave,note,noteClass,audioClass
1260,0,92,240,1396.91,6,5,F,lowTreble,
1261,25,113,255,1479.98,6,6,F#,lowTreble,
1262,65,138,255,1567.98,6,7,G,lowTreble,
1263,105,163,255,1661.22,6,8,G#,lowTreble,
1264,145,187,255,1760.0,6,8,G#,lowTreble,
1265,185,212,255,1864.66,6,10,A#,lowTreble,
1266,225,236,255,1975.53,6,11,B,lowTreble,
1267,20,0,34,2093.0,7,0,C,midTreble,
1268,40,0,69,2217.46,7,1,C#,midTreble,
1269,60,0,103,2349.32,7,2,D,midTreble,
1270,80,0,137,2489.0,7,3,D#,midTreble,
1271,100,0,171,2637.0,7,4,E,midTreble,
1272,120,0,206,2793.83,7,5,F,midTreble,
1273,140,0,240,2959.96,7,6,F#,midTreble,
1274,157,19,255,3135.96,7,7,G,midTreble,
1275,171,54,255,3322.44,7,8,G#,midTreble,
1276,186,88,255,3520.0,7,8,G#,midTreble,
1277,200,122,255,3729.31,7,10,A#,midTreble,
1278,214,157,255,3951.0,7,11,B,midTreble,
1279,20,0,28,4186.0,8,0,C,highTreble,
1280,41,0,57,4434.92,8,1,C#,highTreble,
1281,61,0,85,4698.63,8,2,D,highTreble,
1282,81,0,114,4978.0,8,3,D#,highTreble,
1283,102,0,142,5274.0,8,4,E,highTreble,
1284,122,0,170,5587.65,8,4,E,highTreble,
1285,143,0,199,5919.91,8,6,F#,highTreble,
1286,163,0,227,6271.93,8,7,G,highTreble,
1287,183,1,255,6644.88,8,8,G#,highTreble,
1288,191,29,255,7040.0,8,9,A,highTreble,
1289,199,58,255,7458.62,8,10,A#,highTreble,
1290,207,86,255,7902.13,8,11,B,highTreble,
1291,23,0,0,16.84,0,0,C,lowBass,
1292,38,0,0,17.84,0,1,C#,lowBass,
1293,54,0,0,18.97,0,2,D,lowBass,
1294,68,0,0,19.99,0,3,D#,lowBass,
1295,84,0,0,21.26,0,4,E,lowBass,
1296,99,0,0,22.48,0,5,F,lowBass,
1297,114,0,0,23.81,0,6,F#,lowBass,
1298,129,0,0,25.23,0,7,G,lowBass,
1299,144,0,0,26.68,0,8,G#,lowBass,
1300,160,0,0,28.37,0,9,A,lowBass,
1301,175,0,0,30.01,0,10,A#,lowBass,
1302,20,0,0,31.79,0,11,B,lowBass,
1303,60,0,0,33.68,1,0,C,midBass,
1304,100,0,0,35.68,1,1,C#,midBass,
1305,140,0,0,37.8,1,2,D,midBass,
1306,180,0,0,40.05,1,3,D#,midBass,
1307,220,0,0,42.43,1,4,E,midBass,
1308,255,5,5,44.65,1,5,F,midBass,
1309,255,45,45,47.63,1,6,F#,midBass,
1310,255,85,85,52.46,1,7,G,midBass,
1311,255,125,125,55.46,1,7,G,midBass,
1312,255,165,165,56.64,1,8,G#,midBass,
1313,255,205,205,60.01,1,10,A#,midBass,
1314,20,11,0,63.68,1,11,B,midBass,
1315,60,32,0,67.36,2,0,C,highBass,
1316,100,53,0,71.33,2,1,C#,highBass,
1317,140,75,0,75.64,2,2,D,highBass,
1318,180,96,0,80.1,2,3,D#,highBass,
1319,220,117,0,84.82,2,4,E,highBass,
1320,255,138,5,89.91,2,5,F,highBass,
1321,255,157,45,95.25,2,6,F#,highBass,
1322,255,176,85,100.96,2,7,G,highBass,
1323,255,194,125,106.86,2,8,G#,highBass,
1324,255,213,165,113.27,2,8,G#,highBass,
1325,255,232,205,120.06,2,10,A#,highBass,
1326,20,19,0,127.38,2,11,B,highBass,
1327,60,56,0,134.7,3,0,C,lowMidrange,
1328,100,93,0,142.66,3,1,C#,lowMidrange,
1329,140,131,0,151.2,3,2,D,lowMidrange,
1330,180,168,0,160.12,3,3,D#,lowMidrange,
1331,220,205,0,169.65,3,4,E,lowMidrange,
1332,255,238,5,180.92,3,5,F,lowMidrange,
1333,255,241,45,190.5,3,6,F#,lowMidrange,
1334,255,244,85,201.96,3,7,G,lowMidrange,
1335,255,246,125,213.68,3,8,G#,lowMidrange,
1336,255,249,165,226.54,3,8,G#,lowMidrange,
1337,255,252,205,240.17,3,10,A#,lowMidrange,
1338,9,20,0,254.79,3,11,B,lowMidrange,
1339,26,60,0,269.41,4,0,C,midMidrange,
1340,43,100,0,285.28,4,1,C#,midMidrange,
1341,61,140,0,302.55,4,2,D,midMidrange,
1342,78,180,0,320.38,4,3,D#,midMidrange,
1343,95,220,0,339.26,4,4,E,midMidrange,
1344,113,255,5,359.1,4,5,F,midMidrange,
1345,136,255,45,381.0,4,6,F#,midMidrange,
1346,159,255,85,403.83,4,7,G,midMidrange,
1347,181,255,125,427.45,4,8,G#,midMidrange,
1348,204,255,165,453.08,4,8,G#,midMidrange,
1349,227,255,205,480.24,4,10,A#,midMidrange,
1350,0,15,20,509.53,5,11,B,highMidrange,
1351,0,45,60,538.81,5,0,C,highMidrange,
1352,0,75,100,570.85,5,1,C#,highMidrange,
1353,0,105,140,604.79,5,2,D,highMidrange,
1354,0,135,180,640.75,5,3,D#,highMidrange,
1355,0,165,220,678.86,5,4,E,highMidrange,
1356,5,192,255,721.78,5,5,F,highMidrange,
1357,45,202,255,761.99,5,6,F#,highMidrange,
1358,85,213,255,808.23,5,7,G,highMidrange,
1359,125,222,255,855.31,5,8,G#,highMidrange,
1360,165,233,255,906.68,5,8,G#,highMidrange,
1361,205,242,255,959.48,5,10,A#,highMidrange,
1362,0,8,20,1018.55,6,11,B,lowTreble,
1363,0,23,60,1077.62,6,0,C,lowTreble,
1364,0,38,100,1141.1,6,1,C#,lowTreble,
1365,0,54,140,1210.22,6,2,D,lowTreble,
1366,0,69,180,1281.51,6,3,D#,lowTreble,
1367,0,84,220,1357.0,6,4,E,lowTreble,
1368,5,101,255,1436.4,6,5,F,lowTreble,
1369,45,125,255,1523.3,6,6,F#,lowTreble,
1370,85,150,255,1613.88,6,7,G,lowTreble,
1371,125,175,255,1710.61,6,8,G#,lowTreble,
1372,165,200,255,1813.14,6,8,G#,lowTreble,
1373,205,224,255,1920.1,6,10,A#,lowTreble,
1374,10,0,17,2038.23,7,11,B,midTreble,
1375,30,0,52,2156.36,7,0,C,midTreble,
1376,50,0,86,2283.39,7,1,C#,midTreble,
1377,70,0,120,2419.16,7,2,D,midTreble,
1378,90,0,155,2565.74,7,3,D#,midTreble,
1379,110,0,189,2716.84,7,4,E,midTreble,
1380,130,0,223,2876.9,7,5,F,midTreble,
1381,150,3,255,3056.59,7,6,F#,midTreble,
1382,164,37,255,3231.1,7,7,G,midTreble,
1383,178,71,255,3419.2,7,8,G#,midTreble,
1384,193,106,255,3629.02,7,8,G#,midTreble,
1385,207,140,255,3842.42,7,10,A#,midTreble,
1386,10,0,14,4078.93,7,11,B,midTreble,
1387,31,0,43,4315.44,8,0,C,highTreble,
1388,51,0,71,4566.78,8,1,C#,highTreble,
1389,71,0,99,4835.46,8,2,D,highTreble,
1390,92,0,128,5129.02,8,3,D#,highTreble,
1391,112,0,156,5430.83,8,4,E,highTreble,
1392,132,0,185,5753.78,8,5,F,highTreble,
1393,152,0,213,6088.59,8,6,F#,highTreble,
1394,173,0,242,6462.21,8,7,G,highTreble,
1395,187,15,255,6842.44,8,8,G#,highTreble,
1396,195,43,255,7243.65,8,9,A,highTreble,
1397,203,71,255,7668.06,8,10,A#,highTreble,
1398,97,0,0,22.48,0,5,F,lowBass,
1399,255,0,0,44.95,1,5,F,midBass,
1400,255,136,0,89.91,2,5,F,highBass,
1401,255,238,0,179.81,3,5,F,lowMidrange,
1402,111,255,0,359.61,4,5,F,midMidrange,
1403,0,191,255,719.23,5,5,F,highMidrange,
1404,0,98,255,1438.23,6,5,F,lowTreble,
1405,128,0,219,2876.9,7,5,F,midTreble,
1406,130,0,181,5753.78,8,5,F,highTreble,
1407,97,0,0,22.48,0,5,F,lowBass,
1408,255,0,0,44.95,1,5,F,midBass,
1409,255,137,0,89.8,2,5,F,highBass,
1410,255,239,0,179.7,3,5,F,lowMidrange,
1411,112,255,0,359.5,4,5,F,midMidrange,
1412,0,192,255,719.12,5,5,F,highMidrange,
1413,0,97,255,1438.34,6,5,F,lowTreble,
1414,126,0,219,2877.12,7,5,F,midTreble,
1415,131,0,181,5753.67,8,5,F,highTreble,
1416,15,0,0,16.35,0,0,C,lowBass,
1417,31,0,0,17.32,0,1,C#,lowBass,
1418,45,0,0,18.35,0,2,D,lowBass,
1419,61,0,0,19.45,0,3,D#,lowBass,
1420,76,0,0,20.6,0,4,E,lowBass,
1421,91,0,0,21.83,0,5,F,lowBass,
1422,107,0,0,23.12,0,6,F#,lowBass,
1423,121,0,0,24.5,0,7,G,lowBass,
1424,137,0,0,25.96,0,8,G#,lowBass,
1425,152,0,0,27.5,0,9,A,lowBass,
1426,167,0,0,29.14,0,10,A#,lowBass,
1427,183,0,0,30.87,0,11,B,lowBass,
1428,40,0,0,32.7,1,0,C,midBass,
1429,80,0,0,34.65,1,1,C#,midBass,
1430,120,0,0,36.71,1,2,D,midBass,
1431,160,0,0,38.89,1,3,D#,midBass,
1432,200,0,0,41.2,1,4,E,midBass,
1433,240,0,0,43.65,1,5,F,midBass,
1434,255,25,25,46.25,1,6,F#,midBass,
1435,255,65,65,49.0,1,7,G,midBass,
1436,255,105,105,55.91,1,8,G#,midBass,
1437,255,145,145,55.0,1,7,G,midBass,
1438,255,185,185,58.27,1,10,A#,midBass,
1439,255,225,225,61.74,1,11,B,midBass,
1440,40,21,0,65.41,2,0,C,highBass,
1441,80,43,0,69.3,2,1,C#,highBass,
1442,120,64,0,73.42,2,2,D,highBass,
1443,160,85,0,77.78,2,3,D#,highBass,
1444,200,107,0,82.41,2,4,E,highBass,
1445,240,128,0,87.31,2,5,F,highBass,
1446,255,148,25,92.5,2,6,F#,highBass,
1447,255,166,65,98.0,2,7,G,highBass,
1448,255,185,105,103.83,2,8,G#,highBass,
1449,255,204,145,110.0,2,8,G#,highBass,
1450,255,222,185,116.54,2,10,A#,highBass,
1451,255,241,225,123.47,2,10,A#,highBass,
1452,40,37,0,130.81,3,0,C,lowMidrange,
1453,80,75,0,138.59,3,1,C#,lowMidrange,
1454,120,112,0,146.83,3,2,D,lowMidrange,
1455,160,150,0,155.56,3,3,D#,lowMidrange,
1456,200,187,0,164.81,3,4,E,lowMidrange,
1457,240,224,0,174.61,3,5,F,lowMidrange,
1458,255,240,25,185.0,3,6,F#,lowMidrange,
1459,255,242,65,196.0,3,7,G,lowMidrange,
1460,255,245,105,207.65,3,8,G#,lowMidrange,
1461,255,248,145,220.0,3,8,G#,lowMidrange,
1462,255,250,185,233.08,3,10,A#,lowMidrange,
1463,255,253,225,246.94,3,11,B,lowMidrange,
1464,17,40,0,261.63,4,0,C,midMidrange,
1465,35,80,0,277.18,4,1,C#,midMidrange,
1466,52,120,0,293.66,4,2,D,midMidrange,
1467,69,160,0,311.13,4,3,D#,midMidrange,
1468,87,200,0,329.63,4,4,E,midMidrange,
1469,104,240,0,349.23,4,5,F,midMidrange,
1470,125,255,25,369.99,4,6,F#,midMidrange,
1471,147,255,65,392.0,4,7,G,midMidrange,
1472,170,255,105,415.3,4,8,G#,midMidrange,
1473,193,255,145,440.0,4,8,G#,midMidrange,
1474,215,255,185,466.16,4,9,A,midMidrange,
1475,238,255,225,493.88,4,10,A#,midMidrange,
1476,0,30,40,523.25,5,0,C,highMidrange,
1477,0,60,80,554.37,5,1,C#,highMidrange,
1478,0,90,120,587.33,5,2,D,highMidrange,
1479,0,120,160,622.25,5,3,D#,highMidrange,
1480,0,150,200,659.25,5,4,E,highMidrange,
1481,0,180,240,698.46,5,5,F,highMidrange,
1482,25,197,255,739.99,5,6,F#,highMidrange,
1483,65,207,255,783.99,5,7,G,highMidrange,
1484,105,217,255,830.61,5,8,G#,highMidrange,
1485,145,227,255,880.0,5,8,G#,highMidrange,
1486,185,238,255,932.33,5,10,A#,highMidrange,
1487,225,247,255,987.77,5,11,B,highMidrange,
1488,0,15,40,1046.5,6,0,C,lowTreble,
1489,0,31,80,1108.73,6,1,C#,lowTreble,
1490,0,46,120,1174.66,6,2,D,lowTreble,
1491,0,61,160,1244.51,6,3,D#,lowTreble,
1492,0,77,200,1318.51,6,4,E,lowTreble,
1493,0,92,240,1396.91,6,5,F,lowTreble,
1494,25,113,255,1479.98,6,6,F#,lowTreble,
1495,65,138,255,1567.98,6,7,G,lowTreble,
1496,105,163,255,1661.22,6,8,G#,lowTreble,
1497,145,187,255,1760.0,6,8,G#,lowTreble,
1498,185,212,255,1864.66,6,10,A#,lowTreble,
1499,225,236,255,1975.53,6,11,B,lowTreble,
1500,20,0,34,2093.0,7,0,C,midTreble,
1501,40,0,69,2217.46,7,1,C#,midTreble,
1502,60,0,103,2349.32,7,2,D,midTreble,
1503,80,0,137,2489.0,7,3,D#,midTreble,
1504,100,0,171,2637.0,7,4,E,midTreble,
1505,120,0,206,2793.83,7,5,F,midTreble,
1506,140,0,240,2959.96,7,6,F#,midTreble,
1507,157,19,255,3135.96,7,7,G,midTreble,
1508,171,54,255,3322.44,7,8,G#,midTreble,
1509,186,88,255,3520.0,7,8,G#,midTreble,
1510,200,122,255,3729.31,7,10,A#,midTreble,
1511,214,157,255,3951.0,7,11,B,midTreble,
1512,20,0,28,4186.0,8,0,C,highTreble,
1513,41,0,57,4434.92,8,1,C#,highTreble,
1514,61,0,85,4698.63,8,2,D,highTreble,
1515,81,0,114,4978.0,8,3,D#,highTreble,
1516,102,0,142,5274.0,8,4,E,highTreble,
1517,122,0,170,5587.65,8,4,E,highTreble,
1518,143,0,199,5919.91,8,6,F#,highTreble,
1519,163,0,227,6271.93,8,7,G,highTreble,
1520,183,1,255,6644.88,8,8,G#,highTreble,
1521,191,29,255,7040.0,8,9,A,highTreble,
1522,199,58,255,7458.62,8,10,A#,highTreble,
1523,207,86,255,7902.13,8,11,B,highTreble,
1524,23,0,0,16.84,0,0,C,lowBass,
1525,38,0,0,17.84,0,1,C#,lowBass,
1526,54,0,0,18.97,0,2,D,lowBass,
1527,68,0,0,19.99,0,3,D#,lowBass,
1528,84,0,0,21.26,0,4,E,lowBass,
1529,99,0,0,22.48,0,5,F,lowBass,
1530,114,0,0,23.81,0,6,F#,lowBass,
1531,129,0,0,25.23,0,7,G,lowBass,
1532,144,0,0,26.68,0,8,G#,lowBass,
1533,160,0,0,28.37,0,9,A,lowBass,
1534,175,0,0,30.01,0,10,A#,lowBass,
1535,20,0,0,31.79,0,11,B,lowBass,
1536,60,0,0,33.68,1,0,C,midBass,
1537,100,0,0,35.68,1,1,C#,midBass,
1538,140,0,0,37.8,1,2,D,midBass,
1539,180,0,0,40.05,1,3,D#,midBass,
1540,220,0,0,42.43,1,4,E,midBass,
1541,255,5,5,44.65,1,5,F,midBass,
1542,255,45,45,47.63,1,6,F#,midBass,
1543,255,85,85,52.46,1,7,G,midBass,
1544,255,125,125,55.46,1,7,G,midBass,
1545,255,165,165,56.64,1,8,G#,midBass,
1546,255,205,205,60.01,1,10,A#,midBass,
1547,20,11,0,63.68,1,11,B,midBass,
1548,60,32,0,67.36,2,0,C,highBass,
1549,100,53,0,71.33,2,1,C#,highBass,
1550,140,75,0,75.64,2,2,D,highBass,
1551,180,96,0,80.1,2,3,D#,highBass,
1552,220,117,0,84.82,2,4,E,highBass,
1553,255,138,5,89.91,2,5,F,highBass,
1554,255,157,45,95.25,2,6,F#,highBass,
1555,255,176,85,100.96,2,7,G,highBass,
1556,255,194,125,106.86,2,8,G#,highBass,
1557,255,213,165,113.27,2,8,G#,highBass,
1558,255,232,205,120.06,2,10,A#,highBass,
1559,20,19,0,127.38,2,11,B,highBass,
1560,60,56,0,134.7,3,0,C,lowMidrange,
1561,100,93,0,142.66,3,1,C#,lowMidrange,
1562,140,131,0,151.2,3,2,D,lowMidrange,
1563,180,168,0,160.12,3,3,D#,lowMidrange,
1564,220,205,0,169.65,3,4,E,lowMidrange,
1565,255,238,5,180.92,3,5,F,lowMidrange,
1566,255,241,45,190.5,3,6,F#,lowMidrange,
1567,255,244,85,201.96,3,7,G,lowMidrange,
1568,255,246,125,213.68,3,8,G#,lowMidrange,
1569,255,249,165,226.54,3,8,G#,lowMidrange,
1570,255,252,205,240.17,3,10,A#,lowMidrange,
1571,9,20,0,254.79,3,11,B,lowMidrange,
1572,26,60,0,269.41,4,0,C,midMidrange,
1573,43,100,0,285.28,4,1,C#,midMidrange,
1574,61,140,0,302.55,4,2,D,midMidrange,
1575,78,180,0,320.38,4,3,D#,midMidrange,
1576,95,220,0,339.26,4,4,E,midMidrange,
1577,113,255,5,359.1,4,5,F,midMidrange,
1578,136,255,45,381.0,4,6,F#,midMidrange,
1579,159,255,85,403.83,4,7,G,midMidrange,
1580,181,255,125,427.45,4,8,G#,midMidrange,
1581,204,255,165,453.08,4,8,G#,midMidrange,
1582,227,255,205,480.24,4,10,A#,midMidrange,
1583,0,15,20,509.53,5,11,B,highMidrange,
1584,0,45,60,538.81,5,0,C,highMidrange,
1585,0,75,100,570.85,5,1,C#,highMidrange,
1586,0,105,140,604.79,5,2,D,highMidrange,
1587,0,135,180,640.75,5,3,D#,highMidrange,
1588,0,165,220,678.86,5,4,E,highMidrange,
1589,5,192,255,721.78,5,5,F,highMidrange,
1590,45,202,255,761.99,5,6,F#,highMidrange,
1591,85,213,255,808.23,5,7,G,highMidrange,
1592,125,222,255,855.31,5,8,G#,highMidrange,
1593,165,233,255,906.68,5,8,G#,highMidrange,
1594,205,242,255,959.48,5,10,A#,highMidrange,
1595,0,8,20,1018.55,6,11,B,lowTreble,
1596,0,23,60,1077.62,6,0,C,lowTreble,
1597,0,38,100,1141.1,6,1,C#,lowTreble,
1598,0,54,140,1210.22,6,2,D,lowTreble,
1599,0,69,180,1281.51,6,3,D#,lowTreble,
1600,0,84,220,1357.0,6,4,E,lowTreble,
1601,5,101,255,1436.4,6,5,F,lowTreble,
1602,45,125,255,1523.3,6,6,F#,lowTreble,
1603,85,150,255,1613.88,6,7,G,lowTreble,
1604,125,175,255,1710.61,6,8,G#,lowTreble,
1605,165,200,255,1813.14,6,8,G#,lowTreble,
1606,205,224,255,1920.1,6,10,A#,lowTreble,
1607,10,0,17,2038.23,7,11,B,midTreble,
1608,30,0,52,2156.36,7,0,C,midTreble,
1609,50,0,86,2283.39,7,1,C#,midTreble,
1610,70,0,120,2419.16,7,2,D,midTreble,
1611,90,0,155,2565.74,7,3,D#,midTreble,
1612,110,0,189,2716.84,7,4,E,midTreble,
1613,130,0,223,2876.9,7,5,F,midTreble,
1614,150,3,255,3056.59,7,6,F#,midTreble,
1615,164,37,255,3231.1,7,7,G,midTreble,
1616,178,71,255,3419.2,7,8,G#,midTreble,
1617,193,106,255,3629.02,7,8,G#,midTreble,
1618,207,140,255,3842.42,7,10,A#,midTreble,
1619,10,0,14,4078.93,7,11,B,midTreble,
1620,31,0,43,4315.44,8,0,C,highTreble,
1621,51,0,71,4566.78,8,1,C#,highTreble,
1622,71,0,99,4835.46,8,2,D,highTreble,
1623,92,0,128,5129.02,8,3,D#,highTreble,
1624,112,0,156,5430.83,8,4,E,highTreble,
1625,132,0,185,5753.78,8,5,F,highTreble,
1626,152,0,213,6088.59,8,6,F#,highTreble,
1627,173,0,242,6462.21,8,7,G,highTreble,
1628,187,15,255,6842.44,8,8,G#,highTreble,
1629,195,43,255,7243.65,8,9,A,highTreble,
1630,203,71,255,7668.06,8,10,A#,highTreble,
1631,97,0,0,22.48,0,5,F,lowBass,
1632,255,0,0,44.95,1,5,F,midBass,
1633,255,136,0,89.91,2,5,F,highBass,
1634,255,238,0,179.81,3,5,F,lowMidrange,
1635,111,255,0,359.61,4,5,F,midMidrange,
1636,0,191,255,719.23,5,5,F,highMidrange,
1637,0,98,255,1438.23,6,5,F,lowTreble,
1638,128,0,219,2876.9,7,5,F,midTreble,
1639,130,0,181,5753.78,8,5,F,highTreble,
1640,97,0,0,22.48,0,5,F,lowBass,
1641,255,0,0,44.95,1,5,F,midBass,
1642,255,137,0,89.8,2,5,F,highBass,
1643,255,239,0,179.7,3,5,F,lowMidrange,
1644,112,255,0,359.5,4,5,F,midMidrange,
1645,0,192,255,719.12,5,5,F,highMidrange,
1646,0,97,255,1438.34,6,5,F,lowTreble,
1647,126,0,219,2877.12,7,5,F,midTreble,
1648,131,0,181,5753.67,8,5,F,highTreble,
1649,15,0,0,16.35,0,0,C,lowBass,
1650,31,0,0,17.32,0,1,C#,lowBass,
1651,45,0,0,18.35,0,2,D,lowBass,
1652,61,0,0,19.45,0,3,D#,lowBass,
1653,76,0,0,20.6,0,4,E,lowBass,
1654,91,0,0,21.83,0,5,F,lowBass,
1655,107,0,0,23.12,0,6,F#,lowBass,
1656,121,0,0,24.5,0,7,G,lowBass,
1657,137,0,0,25.96,0,8,G#,lowBass,
1658,152,0,0,27.5,0,9,A,lowBass,
1659,167,0,0,29.14,0,10,A#,lowBass,
1660,183,0,0,30.87,0,11,B,lowBass,
1661,40,0,0,32.7,1,0,C,midBass,
1662,80,0,0,34.65,1,1,C#,midBass,
1663,120,0,0,36.71,1,2,D,midBass,
1664,160,0,0,38.89,1,3,D#,midBass,
1665,200,0,0,41.2,1,4,E,midBass,
1666,240,0,0,43.65,1,5,F,midBass,
1667,255,25,25,46.25,1,6,F#,midBass,
1668,255,65,65,49.0,1,7,G,midBass,
1669,255,105,105,55.91,1,8,G#,midBass,
1670,255,145,145,55.0,1,7,G,midBass,
1671,255,185,185,58.27,1,10,A#,midBass,
1672,255,225,225,61.74,1,11,B,midBass,
1673,40,21,0,65.41,2,0,C,highBass,
1674,80,43,0,69.3,2,1,C#,highBass,
1675,120,64,0,73.42,2,2,D,highBass,
1676,160,85,0,77.78,2,3,D#,highBass,
1677,200,107,0,82.41,2,4,E,highBass,
1678,240,128,0,87.31,2,5,F,highBass,
1679,255,148,25,92.5,2,6,F#,highBass,
1680,255,166,65,98.0,2,7,G,highBass,
1681,255,185,105,103.83,2,8,G#,highBass,
1682,255,204,145,110.0,2,8,G#,highBass,
1683,255,222,185,116.54,2,10,A#,highBass,
1684,255,241,225,123.47,2,10,A#,highBass,
1685,40,37,0,130.81,3,0,C,lowMidrange,
1686,80,75,0,138.59,3,1,C#,lowMidrange,
1687,120,112,0,146.83,3,2,D,lowMidrange,
1688,160,150,0,155.56,3,3,D#,lowMidrange,
1689,200,187,0,164.81,3,4,E,lowMidrange,
1690,240,224,0,174.61,3,5,F,lowMidrange,
1691,255,240,25,185.0,3,6,F#,lowMidrange,
1692,255,242,65,196.0,3,7,G,lowMidrange,
1693,255,245,105,207.65,3,8,G#,lowMidrange,
1694,255,248,145,220.0,3,8,G#,lowMidrange,
1695,255,250,185,233.08,3,10,A#,lowMidrange,
1696,255,253,225,246.94,3,11,B,lowMidrange,
1697,17,40,0,261.63,4,0,C,midMidrange,
1698,35,80,0,277.18,4,1,C#,midMidrange,
1699,52,120,0,293.66,4,2,D,midMidrange,
1700,69,160,0,311.13,4,3,D#,midMidrange,
1701,87,200,0,329.63,4,4,E,midMidrange,
1702,104,240,0,349.23,4,5,F,midMidrange,
1703,125,255,25,369.99,4,6,F#,midMidrange,
1704,147,255,65,392.0,4,7,G,midMidrange,
1705,170,255,105,415.3,4,8,G#,midMidrange,
1706,193,255,145,440.0,4,8,G#,midMidrange,
1707,215,255,185,466.16,4,9,A,midMidrange,
1708,238,255,225,493.88,4,10,A#,midMidrange,
1709,0,30,40,523.25,5,0,C,highMidrange,
1710,0,60,80,554.37,5,1,C#,highMidrange,
1711,0,90,120,587.33,5,2,D,highMidrange,
1712,0,120,160,622.25,5,3,D#,highMidrange,
1713,0,150,200,659.25,5,4,E,highMidrange,
1714,0,180,240,698.46,5,5,F,highMidrange,
1715,25,197,255,739.99,5,6,F#,highMidrange,
1716,65,207,255,783.99,5,7,G,highMidrange,
1717,105,217,255,830.61,5,8,G#,highMidrange,
1718,145,227,255,880.0,5,8,G#,highMidrange,
1719,185,238,255,932.33,5,10,A#,highMidrange,
1720,225,247,255,987.77,5,11,B,highMidrange,
1721,0,15,40,1046.5,6,0,C,lowTreble,
1722,0,31,80,1108.73,6,1,C#,lowTreble,
1723,0,46,120,1174.66,6,2,D,lowTreble,
1724,0,61,160,1244.51,6,3,D#,lowTreble,
1725,0,77,200,1318.51,6,4,E,lowTreble,
1726,0,92,240,1396.91,6,5,F,lowTreble,
1727,25,113,255,1479.98,6,6,F#,lowTreble,
1728,65,138,255,1567.98,6,7,G,lowTreble,
1729,105,163,255,1661.22,6,8,G#,lowTreble,
1730,145,187,255,1760.0,6,8,G#,lowTreble,
1731,185,212,255,1864.66,6,10,A#,lowTreble,
1732,225,236,255,1975.53,6,11,B,lowTreble,
1733,20,0,34,2093.0,7,0,C,midTreble,
1734,40,0,69,2217.46,7,1,C#,midTreble,
1735,60,0,103,2349.32,7,2,D,midTreble,
1736,80,0,137,2489.0,7,3,D#,midTreble,
1737,100,0,171,2637.0,7,4,E,midTreble,
1738,120,0,206,2793.83,7,5,F,midTreble,
1739,140,0,240,2959.96,7,6,F#,midTreble,
1740,157,19,255,3135.96,7,7,G,midTreble,
1741,171,54,255,3322.44,7,8,G#,midTreble,
1742,186,88,255,3520.0,7,8,G#,midTreble,
1743,200,122,255,3729.31,7,10,A#,midTreble,
1744,214,157,255,3951.0,7,11,B,midTreble,
1745,20,0,28,4186.0,8,0,C,highTreble,
1746,41,0,57,4434.92,8,1,C#,highTreble,
1747,61,0,85,4698.63,8,2,D,highTreble,
1748,81,0,114,4978.0,8,3,D#,highTreble,
1749,102,0,142,5274.0,8,4,E,highTreble,
1750,122,0,170,5587.65,8,4,E,highTreble,
1751,143,0,199,5919.91,8,6,F#,highTreble,
1752,163,0,227,6271.93,8,7,G,highTreble,
1753,183,1,255,6644.88,8,8,G#,highTreble,
1754,191,29,255,7040.0,8,9,A,highTreble,
1755,199,58,255,7458.62,8,10,A#,highTreble,
1756,207,86,255,7902.13,8,11,B,highTreble,
1757,23,0,0,16.84,0,0,C,lowBass,
1758,38,0,0,17.84,0,1,C#,lowBass,
1759,54,0,0,18.97,0,2,D,lowBass,
1760,68,0,0,19.99,0,3,D#,lowBass,
1761,84,0,0,21.26,0,4,E,lowBass,
1762,99,0,0,22.48,0,5,F,lowBass,
1763,114,0,0,23.81,0,6,F#,lowBass,
1764,129,0,0,25.23,0,7,G,lowBass,
1765,144,0,0,26.68,0,8,G#,lowBass,
1766,160,0,0,28.37,0,9,A,lowBass,
1767,175,0,0,30.01,0,10,A#,lowBass,
1768,20,0,0,31.79,0,11,B,lowBass,
1769,60,0,0,33.68,1,0,C,midBass,
1770,100,0,0,35.68,1,1,C#,midBass,
1771,140,0,0,37.8,1,2,D,midBass,
1772,180,0,0,40.05,1,3,D#,midBass,
1773,220,0,0,42.43,1,4,E,midBass,
1774,255,5,5,44.65,1,5,F,midBass,
1775,255,45,45,47.63,1,6,F#,midBass,
1776,255,85,85,52.46,1,7,G,midBass,
1777,255,125,125,55.46,1,7,G,midBass,
1778,255,165,165,56.64,1,8,G#,midBass,
1779,255,205,205,60.01,1,10,A#,midBass,
1780,20,11,0,63.68,1,11,B,midBass,
1781,60,32,0,67.36,2,0,C,highBass,
1782,100,53,0,71.33,2,1,C#,highBass,
1783,140,75,0,75.64,2,2,D,highBass,
1784,180,96,0,80.1,2,3,D#,highBass,
1785,220,117,0,84.82,2,4,E,highBass,
1786,255,138,5,89.91,2,5,F,highBass,
1787,255,157,45,95.25,2,6,F#,highBass,
1788,255,176,85,100.96,2,7,G,highBass,
1789,255,194,125,106.86,2,8,G#,highBass,
1790,255,213,165,113.27,2,8,G#,highBass,
1791,255,232,205,120.06,2,10,A#,highBass,
1792,20,19,0,127.38,2,11,B,highBass,
1793,60,56,0,134.7,3,0,C,lowMidrange,
1794,100,93,0,142.66,3,1,C#,lowMidrange,
1795,140,131,0,151.2,3,2,D,lowMidrange,
